Incident Number,Province,Incident type,Incident Types,Emergency Level,Reported Date,Discovered Date and Time,Regulation,Status,Company,Latitude,Longitude,Facility Name,Pipeline or Facility Type,Pipeline Name,Pipeline length (km),Pipeline/Equipment Involved?,Equipment Inspected?,No maintenance done on this equipment or component,Substance,Rupture,Released substance type,Release Type,Released volume (m3),Substance carried,Why it Happened,Significant,Activity being performed at time of incident,Workdays lost,Number of fatalities,Number of individuals injured,Number of people evacuated
INC2021-001,New Brunswick,Release of Substance,Release of Substance,Not Emergency,1/4/2021,1/3/2021 6:18,PPR,Initially Submitted,Twin Rivers Paper Company Inc.,47.36249,-68.32499,,Transmission,Groundwood Stock Line,1.923276,Yes,No,No,Produced Water,Yes,Produced Water,Miscellaneous,21.58,"Effluent (By-products), Mechanical Pulp Slurry",To be determined,No,Operation,,,,0
INC2020-139,Alberta,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,12/30/2020,12/9/2020 6:30,OPR,Initially Submitted,Enbridge Pipelines Inc.,53.54740268,-113.3557137,EDMONTON TERMINAL,Transmission,Unknown,0.6208452,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,Yes,Operation,1,,1,0
INC2020-138,British Columbia,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,12/15/2020,12/15/2020 3:20,OPR,Initially Submitted,Trans Mountain Pipeline ULC,49.26848937,-122.931342,BURNABY,Gathering,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,Yes,Construction,,,1,0
INC2020-133,Quebec,Fire,Fire,Not Emergency,11/25/2020,11/24/2020 10:00,OPR/PPR,Initially Submitted,Trans Québec and Maritimes Pipeline Inc.,45.03339107,-71.50002623,EAST HEREFORD,Transmission,Mainline - Loop,3.740811,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-127,Alberta,Release of Substance,Release of Substance,Not Emergency,11/17/2020,11/9/2020 11:56,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,56.48610421,-114.117508,WOODENHOUSE,Transmission,Peerless Lake Lateral (Vandersteene Lake Section) - Nps 16,40.29355,Yes,No,No,Lube Oil,No,Lube Oil,Liquid,11,Natural Gas,To be determined,No,Operation,,,,0
INC2020-125,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,11/13/2020,11/12/2020 2:24,OPR,Initially Submitted,TransCanada PipeLines Limited,46.875161,-79.815636,,Transmission,Line 100-1,2595.725,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-124,British Columbia,Fire,Fire,Not Emergency,11/10/2020,11/10/2020 2:30,OPR,Submitted,Trans Mountain Pipeline ULC,49.26848937,-122.931342,BURNABY,Gathering,Suncor To Burnaby Terminal - Nps 20,4.607408,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Maintenance,No,Construction,,,,0
INC2020-123,Alberta,Fire,Fire,Not Emergency,11/7/2020,11/6/2020 5:30,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,56.48610421,-114.117508,WOODENHOUSE,Transmission,Peerless Lake Lateral (Vandersteene Lake Section) - Nps 16,40.29355,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-122,Ontario,Fire,Fire,Not Emergency,11/5/2020,10/30/2020 10:00,OPR,Initially Submitted,Enbridge Pipelines Inc.,43.32856593,-80.09097967,WESTOVER,Transmission,Line 11,80.77962,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,No,Operation,,,,0
INC2020-119,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,11/1/2020,10/31/2020 3:00,OPR,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",50.85966001,-120.9615197,,Transmission,"Spectra - 36 Loop""",1105.137,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-118,New Brunswick,Release of Substance,Release of Substance,Not Emergency,10/30/2020,10/30/2020 9:18,OPR,Submitted,Twin Rivers Paper Company Inc.,47.361406,-68.328498,,Distribution,Groundwood White Water Return,1.911591,Yes,Yes,Yes,Water,No,Water,Miscellaneous,1.5,White Water,Maintenance,No,Operation,,,,0
INC2020-117,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,10/30/2020,10/29/2020 4:10,OPR,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.88363892,-120.2145761,,Transmission,"8 Dawson Creek Pipeline""",8.59319,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sweet,To be determined,No,Operation,,,,0
INC2020-116,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,10/29/2020,10/28/2020 2:54,OPR,Initially Submitted,TransCanada PipeLines Limited,49.768798,-85.2189,,Transmission,Line 100-3,2681.811,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-115,Alberta,Fatality,Fatality,Not Emergency,10/27/2020,10/27/2020 2:25,OPR,Initially Submitted,Trans Mountain Pipeline ULC,53.474,-113.65,,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,Yes,Construction,,1,,0
INC2020-114,Alberta,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,10/26/2020,10/25/2020 9:00,OPR,Closed,Trans Mountain Pipeline ULC,53.430039,-113.566381,EDMONTON,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,"Engineering and Planning, Human Factors",Yes,Construction,,,1,1
INC2020-113,Alberta,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,10/25/2020,10/24/2020 10:30,OPR,Closed,Trans Mountain Pipeline ULC,53.457802,-113.527608,,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Standards and Procedures,Yes,Construction,,,1,0
INC2020-112,Manitoba,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,10/19/2020,10/17/2020 2:00,OPR,Submitted,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,49.40767,-98.83013,,Transmission,Line 13,1240.941,No,No,No,Not Applicable,No,,Not Applicable,,NGL-LVP (Condensate),"Engineering and Planning, Natural or Environmental Forces",No,Operation,,,,0
INC2020-111,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,10/15/2020,10/14/2020 3:30,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,54.41865,-113.851701,,Transmission,Redwater Lateral - Nps 10,145.4216,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-110,Alberta,Release of Substance,Release of Substance,Not Emergency,10/14/2020,10/14/2020 8:45,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,56.803237,-111.447943,,Transmission,Albersun Lateral (Nps 10 1967) Fort Mcmurray Section,130.7238,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,10,Natural Gas,To be determined,No,Operation,,,,0
INC2020-107,Quebec,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,10/14/2020,10/13/2020 7:19,OPR,Submitted,Trans-Northern Pipelines Inc.,45.455432,-74.055783,,Transmission,Mainline,635.0188,Yes,No,No,Not Applicable,No,,Not Applicable,,Refined Products-Aviation,Natural or Environmental Forces,No,Operation,,,,0
INC2020-106,Quebec,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,10/9/2020,10/8/2020 4:00,OPR,Submitted,Trans-Northern Pipelines Inc.,45.622544,-73.634801,,Transmission,Mainline,635.0188,Yes,No,No,Not Applicable,No,,Not Applicable,,Refined Products-Aviation,Natural or Environmental Forces,No,Operation,,,,0
INC2020-105,British Columbia,Fire,Fire,Not Emergency,10/7/2020,10/7/2020 5:30,OPR,Closed,Trans Mountain Pipeline ULC,49.26848937,-122.931342,BURNABY,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Construction,,,,0
INC2020-104,British Columbia,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,10/3/2020,10/3/2020 4:15,OPR,Closed,Trans Mountain Pipeline ULC,50.692803,-120.426351,KAMLOOPS,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,Yes,Construction,,,1,0
INC2020-102,Alberta,Release of Substance,Release of Substance,Not Emergency,10/2/2020,10/2/2020 10:00,OPR,Initially Submitted,Express Pipeline Ltd.,51.48953478,-111.1657909,YOUNGSTOWN,Transmission,"",,Yes,No,No,Crude Oil - Sweet,No,Crude Oil - Sweet,Liquid,66.5,,To be determined,Yes,Operation,,,,0
INC2020-101,Alberta,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,10/1/2020,9/30/2020 5:33,OPR,Initially Submitted,TransCanada Keystone Pipeline GP Ltd.,52.34672227,-110.7640154,LAKESEND EAST PS,Transmission,Keystone Xl Pipeline,518.2194,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,To be determined,Yes,Construction,1,,1,0
INC2020-100,Alberta,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,9/30/2020,9/30/2020 4:24,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,49.63510234,-114.5854131,,Transmission,Grande Prairie Mainline Loop 2,35.95152,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,Yes,Maintenance,10,,1,0
INC2020-099,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,9/30/2020,6/29/2018 12:00,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,55.6115514,-117.663756,,Transmission,Peace River M/L (Zama Lake To Valleyview) - Nps 20,473.8244,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-098,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,9/25/2020,9/25/2020 7:07,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,53.38654093,-115.6077378,ETA LAKE,Transmission,Eta Lake,3.056572,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-096,Alberta,Fire,Fire,Not Emergency,9/16/2020,9/15/2020 2:00,OPR,Closed,NOVA Gas Transmission Ltd.,57.19151585,-118.1943258,MEIKLE RIVER,Transmission,Hotchkiss Ne Lateral - Nps 8,11.88336,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2020-095,Manitoba,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,9/15/2020,9/15/2020 9:30,OPR,Initially Submitted,TransCanada PipeLines Limited,49.643056,-95.501667,,Transmission,Line 100-1,2595.725,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-094,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,9/4/2020,8/23/2020 10:00,OPR,Submitted,TransCanada PipeLines Limited,43.19224203,-79.06945351,,Transmission,Line 200-1,104.8391,Yes,No,Yes,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2020-091,British Columbia,Fire,Fire,Not Emergency,8/31/2020,8/31/2020 2:05,OPR,Closed,Trans Mountain Pipeline ULC,49.26848937,-122.931342,BURNABY,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Construction,,,,0
INC2020-089,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,8/25/2020,8/25/2020 12:00,OPR,Initially Submitted,TransCanada PipeLines Limited,49.797622,-85.80746077,,Transmission,Line 100-1,2595.725,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-088,Alberta,Fire,Fire,Not Emergency,8/19/2020,8/19/2020 12:30,OPR,Closed,TransCanada Keystone Pipeline GP Ltd.,51.68001,-110.545265,,Transmission,Keystone Xl Pipeline,518.2194,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Natural or Environmental Forces,No,Construction,,,,0
INC2020-087,British Columbia,Fire,Fire,Not Emergency,8/17/2020,8/17/2020 1:00,OPR,Closed,Trans Mountain Pipeline ULC,50.66260932,-120.4141634,KAMLOOPS,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,"Maintenance, Natural or Environmental Forces",No,Construction,,,,0
INC2020-086,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,8/14/2020,8/14/2020 11:10,OPR,Submitted,Trans Mountain Pipeline ULC,50.48034,-120.37324,,Transmission,Mainline,1596.894,No,No,No,Not Applicable,No,,Not Applicable,,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Natural or Environmental Forces,No,Maintenance,,,,0
INC2020-085,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,8/14/2020,8/14/2020 12:00,OPR,Closed,NOVA Gas Transmission Ltd.,54.58569,-114.07706,,Transmission,Redwater Lateral - Nps 10,145.4216,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2020-084,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,8/12/2020,8/12/2020 5:09,OPR,Submitted,Trans-Northern Pipelines Inc.,42.84112307,-80.05650685,NANTICOKE STATION,Transmission,Nanticoke Lateral,60.50703,Yes,No,No,Not Applicable,No,,Not Applicable,,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline","Failure in communication, Tools and Equipment",No,Operation,,,,0
INC2020-083,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,8/8/2020,8/7/2020 9:25,OPR,Submitted,Trans Mountain Pipeline ULC,49.2174,-121.6916,,Transmission,Mainline,1596.894,Yes,No,No,Not Applicable,No,,Not Applicable,,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Natural or Environmental Forces,No,Maintenance,,,,0
INC2020-082,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,8/8/2020,8/8/2020 11:00,OPR,Initially Submitted,TransCanada PipeLines Limited,47.63417,-79.78694,,Transmission,Line 100-1,2595.725,Yes,No,Yes,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2020-077,British Columbia,Fire,Fire,Not Emergency,7/28/2020,7/28/2020 11:10,OPR,Closed,Trans Mountain Pipeline ULC,49.06567935,-122.1597143,SUMAS,Distribution,Mainline,1596.894,No,No,No,Not Applicable,No,,Not Applicable,,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Tools and Equipment,No,Construction,,,,0
INC2020-073,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,7/14/2020,7/13/2020 2:40,OPR,Closed,NOVA Gas Transmission Ltd.,53.836111,-117.030833,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Natural or Environmental Forces,No,Operation,,,,0
INC2020-072,British Columbia,Fire,Fire,Not Emergency,7/12/2020,7/12/2020 4:00,OPR,Closed,Trans Mountain Pipeline ULC,49.29079839,-122.9502759,,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Natural or Environmental Forces,No,Construction,,,,0
INC2020-070,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,7/8/2020,7/7/2020 2:50,OPR,Initially Submitted,TransCanada PipeLines Limited,45.10426,-79.31686,,Transmission,Line 100-2,3393.427,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-068,Alberta,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Not Emergency,7/2/2020,7/2/2020 7:30,OPR,Closed,NOVA Gas Transmission Ltd.,56.933508,-115.228594,GOODFISH,Transmission,North Central Corridor,378.5193,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Tools and Equipment,Yes,Construction,0,,1,0
INC2020-067,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,6/26/2020,6/25/2020 9:00,OPR,Closed,NOVA Gas Transmission Ltd.,55.79381,-119.03227,,Transmission,Gordondale Lateral - Nps 16,117.3814,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2020-066,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,6/25/2020,6/24/2020 2:00,OPR,Initially Submitted,TransCanada PipeLines Limited,48.93875,-89.774665,,Transmission,Line 100-2,3393.427,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-065,British Columbia,Release of Substance,Release of Substance,Not Emergency,6/25/2020,6/24/2020 10:30,OPR,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.7041176,-121.6282676,,Transmission,"30 Fort St. John Mainline""",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,4.05,,Engineering and Planning,No,Maintenance,,,,0
INC2020-063,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,6/18/2020,6/17/2020 4:42,OPR,Closed,Trans Mountain Pipeline ULC,52.506788,-119.106979,,Transmission,Mainline,1596.894,Yes,No,Yes,Not Applicable,No,,Not Applicable,,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Natural or Environmental Forces,No,Maintenance,,,,0
INC2020-061,Alberta,"Explosion, Fire","Explosion, Fire",Not Emergency,6/15/2020,6/15/2020 7:47,OPR,Closed,TransCanada Keystone Pipeline GP Ltd.,52.64363744,-111.2775357,HARDISTY WEST INTERCONNECTING FACILITIES BOOSTER PUMP STATION,Transmission,Gibson West Interconnect Pipeline,1.151308,Yes,No,Yes,Not Applicable,No,,Not Applicable,,Crude Oil,Natural or Environmental Forces,No,Operation,,,,0
INC2020-060,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,6/14/2020,6/13/2020 11:36,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,53.38098,-115.61765,,Transmission,Eta Lake,3.056572,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,To be determined,No,Operation,,,,0
INC2020-059,Ontario,Fire,Fire,Not Emergency,6/14/2020,6/14/2020 1:38,OPR,Closed,TransCanada PipeLines Limited,46.152799,-77.690799,,Transmission,Line 1200-1,431.7077,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Maintenance,No,Maintenance,,,,0
INC2020-058,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,6/14/2020,6/13/2020 7:15,OPR,Closed,Enbridge Pipelines Inc.,53.543056,-113.354167,,Transmission,"",,Yes,Yes,Yes,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Standards and Procedures",No,Operation,,,,0
INC2020-057,British Columbia,Release of Substance,Release of Substance,Not Emergency,6/13/2020,6/12/2020 10:34,OPR,Submitted,Trans Mountain Pipeline ULC,49.06567935,-122.1597143,SUMAS,Transmission,Mainline,1596.894,Yes,No,Yes,Crude Oil - Sweet,No,Crude Oil - Sweet,Liquid,190,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light","Engineering and Planning, Human Factors, Inadequate Procurement, Standards and Procedures",No,Operation,,,,0
INC2020-056,Saskatchewan,Fire,Fire,Not Emergency,6/6/2020,6/6/2020 7:20,OPR,Closed,Kingston Midstream Limited,49.450559,-103.336958,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance, Standards and Procedures",No,Operation,,,,0
INC2020-055,Alberta,Explosion,Explosion,Not Emergency,6/6/2020,6/6/2020 9:58,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.821969,-119.751665,Gordondale Compressor Station,Transmission,"26 Alberta Mainline""",57.94914,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sweet,Maintenance,No,Operation,,,,0
INC2020-054,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,6/5/2020,6/4/2020 1:30,OPR,Closed,Trans-Northern Pipelines Inc.,43.776405,-79.370181,,Transmission,Toronto Lateral,20.02955,Yes,No,No,Not Applicable,No,,Not Applicable,,Refined Products-Aviation,Natural or Environmental Forces,No,Operation,,,,0
INC2020-052,British Columbia,Fire,Fire,Not Emergency,5/29/2020,5/29/2020 4:15,OPR,Closed,Trans Mountain Pipeline ULC,49.29079839,-122.9502759,WESTRIDGE MARINE TERMINAL,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Tools and Equipment,No,Construction,,,,0
INC2020-051,British Columbia,Fire,Fire,Not Emergency,5/27/2020,5/27/2020 3:00,OPR,Closed,Trans Mountain Pipeline ULC,49.26848937,-122.931342,BURNABY,Gathering,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Failure in communication,No,Construction,,,,0
INC2020-050,Alberta,Release of Substance,Release of Substance,Not Emergency,5/24/2020,5/23/2020 4:27,OPR,Submitted,NOVA Gas Transmission Ltd.,50.38248,-114.226414,,Transmission,Western Alberta M/L Loop - Nps 42,119.7986,Yes,Yes,Yes,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,86,Natural Gas,Tools and Equipment,No,Operation,,,,0
INC2020-048,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,5/19/2020,5/19/2020 1:00,OPR,Closed,TransCanada PipeLines Limited,48.72211,-88.588886,,Transmission,Line 100-1,2595.725,Yes,No,Yes,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2020-047,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,5/5/2020,2/18/2020 10:00,OPR,Submitted,NOVA Gas Transmission Ltd.,56.514333,-113.68003,,Transmission,North Central Corridor Loop (Buffalo Creek West Section) - Nps 36,53.55816,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,"Engineering and Planning, Failure in communication, Standards and Procedures",No,Operation,,,,0
INC2020-046,Alberta,Fire,Fire,Not Emergency,5/1/2020,5/1/2020 12:00,OPR,Closed,Trans Mountain Pipeline ULC,53.542879,-113.364282,,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Human Factors, Tools and Equipment",No,Maintenance,,,,0
INC2020-045,Saskatchewan,Release of Substance,Release of Substance,Not Emergency,4/30/2020,4/30/2020 7:55,OPR,Submitted,Enbridge Pipelines Inc.,51.64917,-108.21167,,Transmission,Line 3,2334.949,Yes,No,Yes,Crude Oil - Sweet,No,Crude Oil - Sweet,Liquid,50,Crude Oil,"Engineering and Planning, Human Factors, Maintenance, Standards and Procedures",Yes,Operation,,,,0
INC2020-043,Alberta,Release of Substance,Release of Substance,Not Emergency,4/26/2020,4/26/2020 8:34,OPR,Submitted,NOVA Gas Transmission Ltd.,56.7054,-111.403,,Transmission,Albersun Lateral (Nps 10 1967) Fort Mcmurray Section,130.7238,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,11457864.96,Natural Gas,"Engineering and Planning, Maintenance, Standards and Procedures",Yes,Operation,,,,0
INC2020-042,British Columbia,"Geo-technical, Hydro-technical or Environmental Activity that Threatens the Safe Operation of a Pipeline, Operation Beyond Design Limits",Operation Beyond Design Limits,Not Emergency,4/25/2020,4/25/2020 9:16,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.65598377,-121.712754,"30 Fort St. John Mainline""",Transmission,"30 Fort St. John Mainline""",,Yes,No,Yes,Not Applicable,No,,Not Applicable,,,Natural or Environmental Forces,No,Operation,,,,0
INC2020-040,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,4/24/2020,4/23/2020 1:00,OPR,Closed,NOVA Gas Transmission Ltd.,53.76999,-111.9527,,Transmission,Hairy Hill Lateral - Nps 10,19.0985,Yes,No,Yes,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2020-039,Alberta,Release of Substance,Release of Substance,Not Emergency,4/23/2020,4/23/2020 8:00,OPR,Closed,NOVA Gas Transmission Ltd.,54.48310727,-118.0999325,LATORNELL,Transmission,Grande Prairie Mainline,339.6264,Yes,No,Yes,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,129636.35,Natural Gas,Maintenance,Yes,Operation,,,,0
INC2020-036,Alberta,Release of Substance,Release of Substance,Not Emergency,4/10/2020,4/9/2020 10:15,OPR,Initially Submitted,NOVA Gas Transmission Ltd.,53.77239,-116.91948,,Transmission,Grande Prairie Mainline,339.6264,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,9100,Natural Gas,To be determined,No,Operation,,,,0
INC2020-034,British Columbia,Fire,Fire,Not Emergency,3/30/2020,3/30/2020 11:45,OPR,Closed,NOVA Gas Transmission Ltd.,56.96144805,-122.0762842,AITKEN CREEK WEST NO. 2 RECEIPT,Transmission,North Montney Mainline,287.6756,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sweet,Human Factors,No,Construction,,,,0
INC2020-033,Alberta,Fire,Fire,Not Emergency,3/23/2020,3/22/2020 11:00,OPR,Closed,NOVA Gas Transmission Ltd.,55.688457,-111.442978,,Transmission,Leismer Lateral (Ptarmigan Pipeline) Nps 14,56.06172,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Maintenance,No,Maintenance,,,,0
INC2020-030,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Not Emergency,3/9/2020,3/9/2020 3:30,OPR,Closed,TransCanada PipeLines Limited,48.798,-88.53562,,Transmission,Line 100-1,2595.725,Yes,No,Yes,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2020-029,Alberta,Fire,Fire,Not Emergency,3/6/2020,3/6/2020 9:55,OPR,Closed,Trans Mountain Pipeline ULC,53.54290845,-113.3644501,EDMONTON,Transmission,Trans Mountain Expansion Project,946.1592,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Tools and Equipment,No,Construction,,,,0
INC2020-028,Saskatchewan,Explosion,Explosion,Not Emergency,3/4/2020,3/4/2020 9:30,OPR,Closed,Alliance Pipeline Ltd as General Partner of Alliance Pipeline Limited Partnership,49.324794,-102.29746,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Standards and Procedures,No,Operation,,,,0
INC2020-026,Alberta,Fire,Fire,Not Emergency,3/1/2020,3/1/2020 9:45,OPR,Closed,NOVA Gas Transmission Ltd.,49.97579813,-114.1312275,BURTON CREEK,Transmission,Was M/L - Nps 36,115.7391,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,"Inadequate Supervision, Tools and Equipment",No,Construction,,,,0
