Incident Number,Province,Incident type,Incident Types,Emergency Level,Reported Date,Discovered Date and Time,Regulation,Status,Company,Latitude,Longitude,Facility Name,Pipeline or Facility Type,Pipeline Name,Pipeline length (km),Pipeline/Equipment Involved?,Equipment Inspected?,No maintenance done on this equipment or component,Substance,Rupture,Released substance type,Release Type,Released volume (m3),Substance carried,Why it Happened,Significant,Activity being performed at time of incident,Workdays lost,Number of fatalities,Number of individuals injured,Number of people evacuated
INC2011-056,Nova Scotia,Release of Substance,Release of Substance,Level I,4/3/2011,4/3/2011 6:20,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,45.3,-62.98333,,,Mne - Halifax Lateral Pressure Reducing Station,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2011-055,Ontario,Release of Substance,Release of Substance,Level I,4/1/2011,4/1/2011 12:55,OPR,Closed,TransCanada PipeLines Limited,48.87166,-80.893589,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Engineering and Planning,No,Operation,,,,0
INC2011-054,Alberta,Fatality,Fatality,Level I,4/1/2011,3/31/2011 5:00,OPR,Closed,NOVA Gas Transmission Ltd.,54.868241,-118.809763,,,Cutbank River Lateral Loop,10.01269,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sweet,Human Factors,Yes,Construction,,,,0
INC2011-053,Ontario,Release of Substance,Release of Substance,Level I,3/31/2011,3/31/2011 9:00,OPR,Closed,TransCanada PipeLines Limited,49.29513,-88.10109,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,1000,,"Maintenance, Standards and Procedures",No,Operation,,,,0
INC2011-048,Saskatchewan,Release of Substance,Release of Substance,Level I,3/24/2011,3/24/2011 9:58,OPR,Closed,Alliance Pipeline Ltd.,49.9746,-103.6528,,,Mainline,1551.609,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,170,Natural Gas,Maintenance,No,Operation,,,,0
INC2011-046,British Columbia,Release of Substance,Release of Substance,Level I,3/21/2011,3/21/2011 10:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",58.85595,-121.78287,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Engineering and Planning,No,Operation,,,,0
INC2011-045,Ontario,Release of Substance,Release of Substance,Level I,3/18/2011,3/18/2011 4:45,OPR,Closed,TransCanada PipeLines Limited,49.48823,-91.98782,,,Line 100-1,2595.725,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,Natural Gas,Engineering and Planning,No,Operation,,,,0
INC2011-044,Ontario,Release of Substance,Release of Substance,Level I,3/17/2011,3/16/2011 3:00,OPR,Closed,TransCanada PipeLines Limited,49.48823,-91.98782,,,Line 100-1,2595.725,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,Natural Gas,Engineering and Planning,No,Maintenance,,,,0
INC2011-042,Alberta,Release of Substance,Release of Substance,Level I,3/13/2011,3/13/2011 3:00,OPR,Closed,NOVA Gas Transmission Ltd.,51.18869,-112.93903,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2011-038,British Columbia,Release of Substance,Release of Substance,Level I,3/7/2011,3/5/2011 3:00,OPR,Closed,Trans Mountain Pipeline ULC,50.66255,-120.41416,,,"Tmpl - Kamloops, Bc Terminal",,No,No,No,Waste Oil,No,Waste Oil,Liquid,11,,Maintenance,No,Operation,,,,0
